X,Y,speed,dir,AM_dir,QGIS_dir
714944.154853401,5187513.36735339,9.7,344,74,164
715345.214853401,5187513.36735339,8.9,356,86,176
715746.274853401,5187513.36735339,9.1,5,95,185
716147.334853401,5187513.36735339,10.0,2,92,182
716548.394853401,5187513.36735339,10.6,3,93,183
716949.454853401,5187513.36735339,11.0,2,92,182
717350.514853401,5187513.36735339,11.0,1,91,181
717751.574853401,5187513.36735339,10.4,1,91,181
718152.634853401,5187513.36735339,10.0,2,92,182
718553.694853401,5187513.36735339,10.5,2,92,182
718954.754853401,5187513.36735339,10.7,359,89,179
719355.814853401,5187513.36735339,10.1,358,88,178
719756.874853401,5187513.36735339,9.2,359,89,179
720157.934853401,5187513.36735339,8.8,1,91,181
720558.994853401,5187513.36735339,9.1,3,93,183
720960.054853401,5187513.36735339,10.1,4,94,184
721361.114853401,5187513.36735339,11.2,2,92,182
721762.174853401,5187513.36735339,11.2,2,92,182
722163.234853401,5187513.36735339,11.6,0,90,180
722564.294853401,5187513.36735339,11.5,360,90,180
722965.354853401,5187513.36735339,11.8,1,91,181
723366.414853401,5187513.36735339,12.4,2,92,182
723767.474853401,5187513.36735339,13.0,1,91,181
724168.534853401,5187513.36735339,13.4,1,91,181
724569.594853401,5187513.36735339,13.6,0,90,180
724970.654853401,5187513.36735339,13.6,360,90,180
725371.714853401,5187513.36735339,13.6,0,90,180
725772.774853401,5187513.36735339,13.8,1,91,181
726173.834853401,5187513.36735339,13.9,0,90,180
726574.894853401,5187513.36735339,14.1,1,91,181
726975.954853401,5187513.36735339,14.7,3,93,183
727377.014853401,5187513.36735339,15.4,2,92,182
727778.074853401,5187513.36735339,15.7,1,91,181
728179.134853401,5187513.36735339,15.8,1,91,181
728580.194853401,5187513.36735339,15.9,1,91,181
728981.254853401,5187513.36735339,16.3,2,92,182
729382.314853401,5187513.36735339,16.8,2,92,182
729783.374853401,5187513.36735339,16.5,0,90,180
730184.434853401,5187513.36735339,16.0,359,89,179
730585.494853401,5187513.36735339,16.7,4,94,184
730986.554853401,5187513.36735339,18.7,3,93,183
731387.614853401,5187513.36735339,20.5,3,93,183
731788.674853401,5187513.36735339,21.1,2,92,182
732189.734853401,5187513.36735339,20.9,357,87,177
732590.794853401,5187513.36735339,19.3,355,85,175
732991.854853401,5187513.36735339,16.4,357,87,177
733392.914853401,5187513.36735339,15.3,359,89,179
733793.974853401,5187513.36735339,14.9,358,88,178
734195.034853401,5187513.36735339,14.7,2,92,182
734596.094853401,5187513.36735339,16.2,7,97,187
734997.154853401,5187513.36735339,16.2,7,97,187
735398.214853401,5187513.36735339,17.2,3,93,183
735799.274853401,5187513.36735339,17.1,358,88,178
736200.334853401,5187513.36735339,16.6,360,90,180
736601.394853401,5187513.36735339,15.4,356,86,176
714944.154853401,5187914.42735339,11.5,346,76,166
715345.214853401,5187914.42735339,11.9,359,89,179
715746.274853401,5187914.42735339,12.9,5,95,185
716147.334853401,5187914.42735339,13.4,2,92,182
716548.394853401,5187914.42735339,13.6,2,92,182
716949.454853401,5187914.42735339,13.4,0,90,180
717350.514853401,5187914.42735339,13.2,0,90,180
717751.574853401,5187914.42735339,13.1,0,90,180
718152.634853401,5187914.42735339,13.0,360,90,180
718553.694853401,5187914.42735339,12.4,359,89,179
718954.754853401,5187914.42735339,11.7,359,89,179
719355.814853401,5187914.42735339,11.7,359,89,179
719756.874853401,5187914.42735339,12.0,360,90,180
720157.934853401,5187914.42735339,12.1,1,91,181
720558.994853401,5187914.42735339,12.1,1,91,181
720960.054853401,5187914.42735339,11.7,2,92,182
721361.114853401,5187914.42735339,11.5,2,92,182
721762.174853401,5187914.42735339,11.5,2,92,182
722163.234853401,5187914.42735339,11.9,1,91,181
722564.294853401,5187914.42735339,12.3,1,91,181
722965.354853401,5187914.42735339,12.6,2,92,182
723366.414853401,5187914.42735339,12.8,2,92,182
723767.474853401,5187914.42735339,13.0,1,91,181
724168.534853401,5187914.42735339,13.0,1,91,181
724569.594853401,5187914.42735339,12.9,360,90,180
724970.654853401,5187914.42735339,12.8,360,90,180
725371.714853401,5187914.42735339,12.8,1,91,181
725772.774853401,5187914.42735339,12.8,1,91,181
726173.834853401,5187914.42735339,12.7,0,90,180
726574.894853401,5187914.42735339,12.8,2,92,182
726975.954853401,5187914.42735339,13.1,4,94,184
727377.014853401,5187914.42735339,13.8,3,93,183
727778.074853401,5187914.42735339,14.4,2,92,182
728179.134853401,5187914.42735339,14.4,0,90,180
728580.194853401,5187914.42735339,14.1,360,90,180
728981.254853401,5187914.42735339,13.6,1,91,181
729382.314853401,5187914.42735339,12.9,2,92,182
729783.374853401,5187914.42735339,13.1,0,90,180
730184.434853401,5187914.42735339,14.1,2,92,182
730585.494853401,5187914.42735339,15.8,6,96,186
730986.554853401,5187914.42735339,16.6,4,94,184
731387.614853401,5187914.42735339,16.7,3,93,183
731788.674853401,5187914.42735339,16.3,3,93,183
732189.734853401,5187914.42735339,16.5,358,88,178
732590.794853401,5187914.42735339,17.3,356,86,176
732991.854853401,5187914.42735339,17.3,357,87,177
733392.914853401,5187914.42735339,17.0,359,89,179
733793.974853401,5187914.42735339,16.5,356,86,176
734195.034853401,5187914.42735339,15.5,357,87,177
734596.094853401,5187914.42735339,13.6,5,95,185
734997.154853401,5187914.42735339,13.6,5,95,185
735398.214853401,5187914.42735339,13.1,6,96,186
735799.274853401,5187914.42735339,14.3,359,89,179
736200.334853401,5187914.42735339,14.8,359,89,179
736601.394853401,5187914.42735339,13.6,351,81,171
714944.154853401,5188315.48735339,13.6,360,90,180
715345.214853401,5188315.48735339,14.6,3,93,183
715746.274853401,5188315.48735339,15.6,4,94,184
716147.334853401,5188315.48735339,15.5,1,91,181
716548.394853401,5188315.48735339,15.3,359,89,179
716949.454853401,5188315.48735339,15.0,357,87,177
717350.514853401,5188315.48735339,14.7,357,87,177
717751.574853401,5188315.48735339,14.2,358,88,178
718152.634853401,5188315.48735339,13.5,356,86,176
718553.694853401,5188315.48735339,13.1,355,85,175
718954.754853401,5188315.48735339,12.9,358,88,178
719355.814853401,5188315.48735339,13.1,1,91,181
719756.874853401,5188315.48735339,13.6,1,91,181
720157.934853401,5188315.48735339,13.7,360,90,180
720558.994853401,5188315.48735339,13.4,358,88,178
720960.054853401,5188315.48735339,12.8,358,88,178
721361.114853401,5188315.48735339,12.1,1,91,181
721762.174853401,5188315.48735339,12.1,1,91,181
722163.234853401,5188315.48735339,11.9,3,93,183
722564.294853401,5188315.48735339,12.2,3,93,183
722965.354853401,5188315.48735339,12.5,2,92,182
723366.414853401,5188315.48735339,12.5,2,92,182
723767.474853401,5188315.48735339,12.3,2,92,182
724168.534853401,5188315.48735339,12.1,0,90,180
724569.594853401,5188315.48735339,12.0,359,89,179
724970.654853401,5188315.48735339,12.1,360,90,180
725371.714853401,5188315.48735339,12.1,1,91,181
725772.774853401,5188315.48735339,12.0,0,90,180
726173.834853401,5188315.48735339,12.1,1,91,181
